date,season,location,team1,team2,team1_masseyrating,team2_masseyrating,result,prediction,accuracy
2023-10-21,2023,A,MUN,SHU,-0.4516599732792638,-1.7008825488428898,1.0,1,1.0
2023-10-21,2023,A,WLV,BOU,-0.4057098937418827,-1.3435873566699135,1.0,1,1.0
2023-10-21,2023,A,BUR,BRE,-1.5567750373861282,0.2263085102701354,0.0,0,1.0
2023-10-21,2023,A,BRH,MNC,0.45530791664800513,1.5315896222107068,0.0,0,1.0
2023-10-21,2023,A,CRY,NEW,-0.3262477811388006,1.5997702660249487,0.0,0,1.0
2023-10-21,2023,H,LIV,EVE,1.3163165863944974,-0.45995338155955806,1.0,1,1.0
2023-10-21,2023,H,BOU,WLV,-1.3435873566699135,-0.4057098937418827,0.0,0,1.0
2023-10-21,2023,H,BRE,BUR,0.2263085102701354,-1.5567750373861282,1.0,1,1.0
2023-10-21,2023,H,NEW,CRY,1.5997702660249487,-0.3262477811388006,1.0,1,1.0
2023-10-21,2023,H,NTG,LUT,-0.22519929817047674,-0.9755357594677777,0.5,1,0.5
2023-10-21,2023,H,CHE,ARS,0.39648214780656216,1.1711383750383944,0.5,0,0.5
2023-10-21,2023,A,EVE,LIV,-0.45995338155955806,1.3163165863944974,0.0,0,1.0
2023-10-21,2023,A,LUT,NTG,-0.9755357594677777,-0.22519929817047674,0.5,0,0.5
2023-10-21,2023,A,ARS,CHE,1.1711383750383944,0.39648214780656216,0.5,1,0.5
2023-10-21,2023,H,MNC,BRH,1.5315896222107068,0.45530791664800513,1.0,1,1.0
2023-10-21,2023,H,SHU,MUN,-1.7008825488428898,-0.4516599732792638,0.0,0,1.0
